name,type,start_time,duration,"identifier","num_data_bytes","data","crc","ack","remote_frame"
"CAN","data_field",3.78866769,3.2e-05,,,0x00,,,
"CAN","data_field",3.78870369,2.8e-05,,,0xEA,,,
"CAN","data_field",3.78873569,3.2e-05,,,0x83,,,
"CAN","data_field",3.78877169,3.2e-05,,,0x02,,,
"CAN","data_field",3.78880769,3.2e-05,,,0x00,,,
"CAN","crc_field",3.78884369,6e-05,,,,0x0000000000000BA1,,
"CAN","ack_field",3.78891169,4e-06,,,,,true,
"CAN","identifier_field",3.79898675,5.6e-05,0x0000000000000601,,,,,
"CAN","control_field",3.79904675,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.79906275,3.2e-05,,,0x40,,,
"CAN","data_field",3.79909875,2.8e-05,,,0x64,,,
"CAN","data_field",3.79913075,2.8e-05,,,0x60,,,
"CAN","data_field",3.79916675,3.2e-05,,,0x00,,,
"CAN","data_field",3.79920275,3.6e-05,,,0x00,,,
"CAN","data_field",3.79924275,3.2e-05,,,0x00,,,
"CAN","data_field",3.79927875,3.6e-05,,,0x00,,,
"CAN","data_field",3.79931875,3.2e-05,,,0x00,,,
"CAN","crc_field",3.79935875,5.6e-05,,,,0x00000000000007B3,,
"CAN","ack_field",3.79942275,4e-06,,,,,true,
"CAN","identifier_field",3.79947488,5.6e-05,0x0000000000000602,,,,,
"CAN","control_field",3.79953487,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.79955087,3.2e-05,,,0x40,,,
"CAN","data_field",3.79958688,2.8e-05,,,0x64,,,
"CAN","data_field",3.79961888,2.8e-05,,,0x60,,,
"CAN","data_field",3.79965487,3.2e-05,,,0x00,,,
"CAN","data_field",3.79969088,3.6e-05,,,0x00,,,
"CAN","data_field",3.79973087,3.2e-05,,,0x00,,,
"CAN","data_field",3.79976687,3.6e-05,,,0x00,,,
"CAN","data_field",3.79980687,3.2e-05,,,0x00,,,
"CAN","crc_field",3.79984688,5.6e-05,,,,0x0000000000001A9E,,
"CAN","ack_field",3.79991088,4e-06,,,,,true,
"CAN","identifier_field",3.79996294,5.6e-05,0x0000000000000581,,,,,
"CAN","control_field",3.80002294,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.80003894,2.8e-05,,,0x43,,,
"CAN","data_field",3.80007094,2.8e-05,,,0x64,,,
"CAN","data_field",3.80010294,2.8e-05,,,0x60,,,
"CAN","data_field",3.80013894,3.2e-05,,,0x00,,,
"CAN","data_field",3.80017494,2.8e-05,,,0x43,,,
"CAN","data_field",3.80020694,3.2e-05,,,0x02,,,
"CAN","data_field",3.80024294,3.2e-05,,,0x02,,,
"CAN","data_field",3.80027894,3.2e-05,,,0x00,,,
"CAN","crc_field",3.80031494,5.6e-05,,,,0x0000000000007A4C,,
"CAN","ack_field",3.80037894,4e-06,,,,,true,
"CAN","identifier_field",3.80043087,5.6e-05,0x0000000000000582,,,,,
"CAN","control_field",3.80049087,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.80050687,2.8e-05,,,0x43,,,
"CAN","data_field",3.80053887,2.8e-05,,,0x64,,,
"CAN","data_field",3.80057088,2.8e-05,,,0x60,,,
"CAN","data_field",3.80060688,3.2e-05,,,0x00,,,
"CAN","data_field",3.80064287,3.6e-05,,,0x01,,,
"CAN","data_field",3.80068288,2.8e-05,,,0x87,,,
"CAN","data_field",3.80071488,3.2e-05,,,0x02,,,
"CAN","data_field",3.80075087,3.2e-05,,,0x00,,,
"CAN","crc_field",3.80078687,5.6e-05,,,,0x0000000000007761,,
"CAN","ack_field",3.80085088,4e-06,,,,,true,
"CAN","identifier_field",3.80703244,5.6e-05,0x0000000000000601,,,,,
"CAN","control_field",3.80709244,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.80710844,3.2e-05,,,0x23,,,
"CAN","data_field",3.80714444,3.2e-05,,,0x41,,,
"CAN","data_field",3.80718044,2.8e-05,,,0x23,,,
"CAN","data_field",3.80721244,3.2e-05,,,0x00,,,
"CAN","data_field",3.80724844,2.8e-05,,,0xCC,,,
"CAN","data_field",3.80728044,2.8e-05,,,0xB6,,,
"CAN","data_field",3.80731244,3.2e-05,,,0x09,,,
"CAN","data_field",3.80734844,3.2e-05,,,0x00,,,
"CAN","crc_field",3.80738444,5.6e-05,,,,0x0000000000007A72,,
"CAN","ack_field",3.80744844,4e-06,,,,,true,
